Date,VacantforOtherReasons
2000-04-01,2408
2000-07-01,2317
2000-10-01,2434
2001-01-01,2641
2001-04-01,2536
2001-07-01,2386
2001-10-01,2455
2002-01-01,2560
2002-04-01,2618
2002-07-01,2501
2002-10-01,2546
2003-01-01,2572
2003-04-01,2766
2003-07-01,2713
2003-10-01,2756
2004-01-01,2920
2004-04-01,2827
2004-07-01,2725
2004-10-01,2629
2005-01-01,2721
2005-04-01,2780
2005-07-01,2623
2005-10-01,2688
2006-01-01,2700
2006-04-01,2756
2006-07-01,2761
2006-10-01,2775
2007-01-01,2966
2007-04-01,2985
2007-07-01,3143
2007-10-01,3204
2008-01-01,3217
2008-04-01,3243
2008-07-01,3368
2008-10-01,3542
2009-01-01,3559
2009-04-01,3531
2009-07-01,3429
2009-10-01,3520
2010-01-01,3646
2010-04-01,3756
2010-07-01,3585
2010-10-01,3629
2011-01-01,3889
2011-04-01,3869
2011-07-01,3839
2011-10-01,3607
2012-01-01,4053
2012-04-01,3930
2012-07-01,3808
2012-10-01,3759
2013-01-01,3980
2013-04-01,3790
2013-07-01,3695
2013-10-01,3780
2014-01-01,3915
2014-04-01,4004
2014-07-01,3934
2014-10-01,3809
2015-01-01,3877
2015-04-01,3836
2015-07-01,3803
2015-10-01,3896
2016-01-01,3938
2016-04-01,3824
2016-07-01,3780
2016-10-01,3708
2017-01-01,3794
2017-04-01,3865
2017-07-01,3963
2017-10-01,3805
2018-01-01,4028
2018-04-01,4144
2018-07-01,3962
2018-10-01,3782
2019-01-01,3975
2019-04-01,4136
2019-07-01,4040
2019-10-01,3873
2020-01-01,4020
2020-04-01,3463
2020-07-01,3258
2020-10-01,3592
2021-01-01,3787
2021-04-01,3906
2021-07-01,3746
2021-10-01,3690.0
2022-01-01,3716.0
2022-04-01,3717.0
2022-07-01,3826.0
2022-10-01,3545.0
2023-01-01,3622.0
2023-04-01,3627.0
2023-07-01,3552.0
2023-10-01,3450.0
2024-01-01,3608.0
2024-04-01,3642.0
2024-07-01,3321.0
2024-10-01,3538.0
2025-01-01,3497.0
