Date,VacantHousingUnits_NotYetOccupied
2000-04-01,869
2000-07-01,1001
2000-10-01,730
2001-01-01,769
2001-04-01,993
2001-07-01,944
2001-10-01,723
2002-01-01,761
2002-04-01,907
2002-07-01,889
2002-10-01,821
2003-01-01,830
2003-04-01,1000
2003-07-01,1078
2003-10-01,1019
2004-01-01,942
2004-04-01,1089
2004-07-01,1058
2004-10-01,910
2005-01-01,925
2005-04-01,1086
2005-07-01,1207
2005-10-01,1072
2006-01-01,1081
2006-04-01,1198
2006-07-01,1172
2006-10-01,1025
2007-01-01,1098
2007-04-01,1210
2007-07-01,1234
2007-10-01,1020
2008-01-01,1057
2008-04-01,1148
2008-07-01,1144
2008-10-01,955
2009-01-01,941
2009-04-01,1083
2009-07-01,1073
2009-10-01,909
2010-01-01,846
2010-04-01,962
2010-07-01,1006
2010-10-01,850
2011-01-01,844
2011-04-01,1017
2011-07-01,1164
2011-10-01,914
2012-01-01,848
2012-04-01,1051
2012-07-01,1111
2012-10-01,939
2013-01-01,955
2013-04-01,1157
2013-07-01,1192
2013-10-01,997
2014-01-01,1028
2014-04-01,1129
2014-07-01,1167
2014-10-01,968
2015-01-01,986
2015-04-01,1134
2015-07-01,1194
2015-10-01,1018
2016-01-01,973
2016-04-01,1083
2016-07-01,1183
2016-10-01,998
2017-01-01,991
2017-04-01,1268
2017-07-01,1386
2017-10-01,1005
2018-01-01,1035
2018-04-01,1185
2018-07-01,1153
2018-10-01,1060
2019-01-01,1028
2019-04-01,1180
2019-07-01,1177
2019-10-01,980
2020-01-01,835
2020-04-01,910
2020-07-01,923
2020-10-01,1021
2021-01-01,941
2021-04-01,1118.0
2021-07-01,1222.0
2021-10-01,947
2022-01-01,931
2022-04-01,1078.0
2022-07-01,992
2022-10-01,815
2023-01-01,877
2023-04-01,1020.0
2023-07-01,1018.0
2023-10-01,783
2024-01-01,737
2024-04-01,940
2024-07-01,995
2024-10-01,803
2025-01-01,868
